,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
192,588,All Education Categories,Retail Trade,581717257,80423,2006,Male,Oklahoma,7233.22
193,589,Less Than High School,Retail Trade,52717847,8477,2006,Male,Oklahoma,6218.93
194,590,High School Gradute,Retail Trade,170985429,22300,2006,Male,Oklahoma,7667.51
195,591,Some College,Retail Trade,169171447,18462,2006,Male,Oklahoma,9163.22
196,592,Advanced Degree,Retail Trade,114170759,8398,2006,Male,Oklahoma,13594.99
197,593,Unavalble,Retail Trade,74671774,22785,2006,Male,Oklahoma,3277.23
198,594,All Education Categories,Retail Trade,355434500,86728,2006,Female,Oklahoma,4098.27
199,595,Less Than High School,Retail Trade,34388902,8990,2006,Female,Oklahoma,3825.24
200,596,High School Gradute,Retail Trade,112035456,25546,2006,Female,Oklahoma,4385.64
201,597,Some College,Retail Trade,96905933,19818,2006,Female,Oklahoma,4889.79
202,598,Advanced Degree,Retail Trade,51616840,7587,2006,Female,Oklahoma,6803.33
203,599,Unavalble,Retail Trade,60487369,24787,2006,Female,Oklahoma,2440.29
204,624,All Education Categories,Finance and Insurance,336153124,17034,2006,Male,Oklahoma,19734.24
205,625,Less Than High School,Finance and Insurance,7438637,754,2006,Male,Oklahoma,9865.57
206,626,High School Gradute,Finance and Insurance,35330077,2800,2006,Male,Oklahoma,12617.88
207,627,Some College,Finance and Insurance,68728682,4254,2006,Male,Oklahoma,16156.25
208,628,Advanced Degree,Finance and Insurance,215329481,7501,2006,Male,Oklahoma,28706.77
209,629,Unavalble,Finance and Insurance,9326247,1725,2006,Male,Oklahoma,5406.52
210,630,All Education Categories,Finance and Insurance,333540867,39762,2006,Female,Oklahoma,8388.43
211,631,Less Than High School,Finance and Insurance,8925161,1507,2006,Female,Oklahoma,5922.47
212,632,High School Gradute,Finance and Insurance,63652452,9177,2006,Female,Oklahoma,6936.08
213,633,Some College,Finance and Insurance,101395334,12353,2006,Female,Oklahoma,8208.15
214,634,Advanced Degree,Finance and Insurance,133873967,11363,2006,Female,Oklahoma,11781.57
215,635,Unavalble,Finance and Insurance,25693951,5361,2006,Female,Oklahoma,4792.75
216,684,All Education Categories,Educational Services,445501403,48529,2006,Male,Oklahoma,9180.11
217,685,Less Than High School,Educational Services,18063356,3043,2006,Male,Oklahoma,5936.04
218,686,High School Gradute,Educational Services,76113403,10357,2006,Male,Oklahoma,7348.98
219,687,Some College,Educational Services,110719564,12825,2006,Male,Oklahoma,8633.1
220,688,Advanced Degree,Educational Services,231553214,19284,2006,Male,Oklahoma,12007.53
221,689,Unavalble,Educational Services,9051865,3020,2006,Male,Oklahoma,2997.31
222,690,All Education Categories,Educational Services,703814530,108693,2006,Female,Oklahoma,6475.25
223,691,Less Than High School,Educational Services,20448688,5104,2006,Female,Oklahoma,4006.4
224,692,High School Gradute,Educational Services,133204337,25609,2006,Female,Oklahoma,5201.47
225,693,Some College,Educational Services,201904624,32580,2006,Female,Oklahoma,6197.2
226,694,Advanced Degree,Educational Services,328982940,39757,2006,Female,Oklahoma,8274.84
227,695,Unavalble,Educational Services,19273942,5643,2006,Female,Oklahoma,3415.55
228,696,All Education Categories,Health Care and Social Assistance,483942170,36115,2006,Male,Oklahoma,13400.03
229,697,Less Than High School,Health Care and Social Assistance,18720161,2909,2006,Male,Oklahoma,6435.26
230,698,High School Gradute,Health Care and Social Assistance,68242520,7861,2006,Male,Oklahoma,8681.15
231,699,Some College,Health Care and Social Assistance,124552313,10620,2006,Male,Oklahoma,11728.09
232,700,Advanced Degree,Health Care and Social Assistance,256813541,10782,2006,Male,Oklahoma,23818.73
233,701,Unavalble,Health Care and Social Assistance,15613635,3942,2006,Male,Oklahoma,3960.84
234,702,All Education Categories,Health Care and Social Assistance,993536612,148243,2006,Female,Oklahoma,6702.08
235,703,Less Than High School,Health Care and Social Assistance,50999339,11255,2006,Female,Oklahoma,4531.26
236,704,High School Gradute,Health Care and Social Assistance,197890521,35772,2006,Female,Oklahoma,5531.99
237,705,Some College,Health Care and Social Assistance,373135215,53493,2006,Female,Oklahoma,6975.4
238,706,Advanced Degree,Health Care and Social Assistance,303513623,30115,2006,Female,Oklahoma,10078.49
239,707,Unavalble,Health Care and Social Assistance,67997913,17608,2006,Female,Oklahoma,3861.76
240,720,All Education Categories,Accommodation and Food Services,184019415,49351,2006,Male,Oklahoma,3728.79
241,721,Less Than High School,Accommodation and Food Services,25333513,6280,2006,Male,Oklahoma,4034.0
242,722,High School Gradute,Accommodation and Food Services,44567436,9807,2006,Male,Oklahoma,4544.45
243,723,Some College,Accommodation and Food Services,38793464,7652,2006,Male,Oklahoma,5069.72
244,724,Advanced Degree,Accommodation and Food Services,20992500,3395,2006,Male,Oklahoma,6183.36
245,725,Unavalble,Accommodation and Food Services,54332502,22216,2006,Male,Oklahoma,2445.65
246,726,All Education Categories,Accommodation and Food Services,186588851,64324,2006,Female,Oklahoma,2900.77
247,727,Less Than High School,Accommodation and Food Services,23206578,7512,2006,Female,Oklahoma,3089.27
248,728,High School Gradute,Accommodation and Food Services,43033904,12706,2006,Female,Oklahoma,3386.9
249,729,Some College,Accommodation and Food Services,38519187,10485,2006,Female,Oklahoma,3673.74
250,730,Advanced Degree,Accommodation and Food Services,17590701,4157,2006,Female,Oklahoma,4231.59
251,731,Unavalble,Accommodation and Food Services,64238481,29465,2006,Female,Oklahoma,2180.16
252,756,All Education Categories,00,8194439178,722383,2007,Male,Oklahoma,11343.62
253,757,Less Than High School,00,638661416,80816,2007,Male,Oklahoma,7902.66
254,758,High School Gradute,00,2039481033,202574,2007,Male,Oklahoma,10067.83
255,759,Some College,00,2332869461,193382,2007,Male,Oklahoma,12063.53
256,760,Advanced Degree,00,2675619757,136159,2007,Male,Oklahoma,19650.7
257,761,Unavalble,00,507807511,109452,2007,Male,Oklahoma,4639.55
258,762,All Education Categories,00,4816437248,718854,2007,Female,Oklahoma,6700.16
259,763,Less Than High School,00,281272112,59467,2007,Female,Oklahoma,4729.89
260,764,High School Gradute,00,1073869520,182281,2007,Female,Oklahoma,5891.29
261,765,Some College,00,1550479740,215732,2007,Female,Oklahoma,7187.06
262,766,Advanced Degree,00,1527388847,146026,2007,Female,Oklahoma,10459.7
263,767,Unavalble,00,383427030,115349,2007,Female,Oklahoma,3324.06
264,816,All Education Categories,Manufacturing,1358465607,113155,2007,Male,Oklahoma,12005.35
265,817,Less Than High School,Manufacturing,138577569,15296,2007,Male,Oklahoma,9059.73
266,818,High School Gradute,Manufacturing,431904213,38602,2007,Male,Oklahoma,11188.65
267,819,Some College,Manufacturing,422890158,32708,2007,Male,Oklahoma,12929.26
268,820,Advanced Degree,Manufacturing,287304264,15073,2007,Male,Oklahoma,19060.85
269,821,Unavalble,Manufacturing,77789403,11478,2007,Male,Oklahoma,6777.26
270,822,All Education Categories,Manufacturing,295875015,37194,2007,Female,Oklahoma,7954.91
